,actual,Linear Reg,SGD,Decision Tree,Random Forest,KNN,DNN
2016-12-15,115.379997,114.9825626853,108.9729793391,113.6999985,113.60769875,111.844999,115.669861
2016-12-16,116.470001,115.0076081912,109.1948491158,113.6999985,113.60769875,111.8079995,116.075905
2016-12-19,115.800003,115.4340115454,113.0789682448,113.6999985,115.44989729,115.1919984,116.603333
2016-12-20,116.739998,115.4590570513,113.3008380216,116.5613327333,117.17789726,115.1919984,116.560379
2016-12-21,116.800003,115.4841025572,113.5227077983,116.5613327333,117.05629964,115.6539987,116.415207
2016-12-22,116.349998,115.5091480631,113.7445775751,116.5613327333,117.58059821,116.5509987,116.456017
2016-12-23,115.589996,115.5341935691,113.9664473519,116.5613327333,117.61419925,117.1169991,116.491814
2016-12-27,116.519997,115.9270979564,117.5360179578,116.5613327333,117.06869735,114.105999,116.820786
2016-12-28,117.519997,115.9521434623,117.7578877346,116.5613327333,115.18939901,114.105999,116.895782
2016-12-29,116.449997,115.9771889682,117.9797575113,116.5613327333,114.40340149,114.105999,116.943314
2016-12-30,116.650002,116.0022344741,118.2016272881,116.5613327333,114.1876016,114.105999,116.93087
